weights,imgsz,n,d,embed_seconds,mean_norm_pre_l2,anisotropy_mean_cos,spectral_top1,spectral_top10,effective_rank,stable_rank,participation_ratio,isoscore,uniformity_wang_isola,twonn_intrinsic_dim,hubness_skewness_k10,knn1_acc_imagenette,silhouette_imagenette
rtdetr-l.pt,640,2000,256,27.6,6.390986442565918,0.819832444190979,0.17476776242256165,0.7007355093955994,25.972576141357422,5.721879005432129,13.530202865600586,0.0,-0.6865217089653015,14.236589835384637,1.0780089404680442,0.8515,0.14081306755542755
yolo11m.pt,640,2000,512,19.2,3.5131328105926514,0.66204434633255,0.1719924658536911,0.6255619525909424,41.76225662231445,5.814208030700684,15.67480182647705,0.0,-1.2544540166854858,16.323418586718834,1.475849913420584,0.7665,0.049340616911649704
yolo11n.pt,640,2000,256,15.7,3.534776449203491,0.8392948508262634,0.3259859085083008,0.814581036567688,14.324471473693848,3.067617177963257,5.79150915145874,0.0,-0.5909497737884521,15.935423911284362,1.0795520464994721,0.6205,-0.06336544454097748
yolo11s.pt,640,2000,512,16.3,4.743425369262695,0.8010126352310181,0.2814086675643921,0.7716822028160095,19.726966857910156,3.5535507202148438,7.246666431427002,0.0,-0.7333439588546753,15.891170624807057,1.1255339965864404,0.679,-0.03182344138622284
yolov10n.pt,640,2000,256,15.7,2.820986747741699,0.7289597988128662,0.27270689606666565,0.7950698137283325,17.590240478515625,3.666940689086914,7.606605529785156,0.0,-0.9792790412902832,14.953729276033718,1.038278022924993,0.6625,-0.01221664622426033
yolov10s.pt,640,2000,512,16.6,4.272259712219238,0.7428587079048157,0.29835328459739685,0.7194756269454956,24.59562873840332,3.351731061935425,8.279690742492676,0.0,-0.9237507581710815,16.66402880988702,1.1694082399696821,0.76,-0.00025572587037459016
yolov3-tinyu.pt,640,2000,256,15.0,4.160027027130127,0.9795616269111633,0.18896445631980896,0.7648203372955322,22.087886810302734,5.2920002937316895,10.557220458984375,0.0,-0.08100948482751846,14.957666872945593,1.1049338444182981,0.681,0.030446359887719154
yolov5mu.pt,640,2000,768,19.3,3.9420876502990723,0.593109667301178,0.1683782935142517,0.6014513969421387,45.85896682739258,5.939007759094238,17.345211029052734,0.0,-1.4835140705108643,18.2490594013802,1.495643380530071,0.7975,0.08183000236749649
yolov5nu.pt,640,2000,256,13.2,2.370178699493408,0.7917085289955139,0.28947320580482483,0.753648042678833,20.91140365600586,3.4545512199401855,7.813328742980957,0.0,-0.7601458430290222,16.555078801577125,1.148666418300722,0.7055,-0.004553850274533033
yolov5su.pt,640,2000,512,12.4,2.4287259578704834,0.5618836879730225,0.17256151139736176,0.6519373059272766,38.870567321777344,5.795034885406494,14.387832641601562,0.0,-1.5953491926193237,17.698666584059687,1.4161926027962375,0.744,0.06092677637934685
yolov8m.pt,640,2000,576,14.9,3.4036922454833984,0.5676447749137878,0.1691989004611969,0.5977717041969299,46.12410354614258,5.91020393371582,17.658313751220703,0.0,-1.5775831937789917,18.699706514808522,1.4434477745892584,0.8305,0.10007446259260178
yolov8n-cls.pt,224,2000,256,4.4,7.6511359214782715,0.8810179829597473,0.0937686488032341,0.4555967450141907,73.22942352294922,10.664545059204102,32.781494140625,0.0,-0.46772199869155884,21.08484026060753,1.6565512025636622,0.8725,0.09117909520864487
yolov8n-obb.pt,640,2000,256,14.0,4.16455602645874,0.7614118456840515,0.16153840720653534,0.6660061478614807,31.45366859436035,6.190478324890137,14.743608474731445,0.0,-0.8893313407897949,18.65544917177118,1.9457919563982051,0.47,-0.05430453643202782
yolov8n-pose.pt,640,2000,256,14.0,5.335148334503174,0.8655188083648682,0.2607548236846924,0.782877504825592,19.027925491333008,3.835020065307617,8.154504776000977,0.0,-0.5035151243209839,17.024634594074328,1.1831031378367276,0.485,-0.10905098915100098
yolov8n-seg.pt,640,2000,256,14.1,2.7991907596588135,0.8879997134208679,0.23970216512680054,0.7286025881767273,25.36252784729004,4.171844005584717,9.983392715454102,0.0,-0.4246741235256195,16.990916286597095,1.3062799121939381,0.705,-0.014711786061525345
yolov8n.pt,640,2000,256,13.5,2.7010810375213623,0.8826923966407776,0.2375553548336029,0.7188442945480347,25.595903396606445,4.209545135498047,9.69517707824707,0.0,-0.44167062640190125,17.407871763727915,1.03166726355013,0.707,-0.019110269844532013
yolov8s.pt,640,2000,512,14.8,2.8327739238739014,0.6734491586685181,0.1746610403060913,0.6354562640190125,42.462425231933594,5.725375175476074,15.369158744812012,0.0,-1.206454873085022,17.407003737392817,1.4505118784253104,0.755,0.05589291825890541
yolov9s.pt,640,2000,256,17.3,3.1391453742980957,0.6527159810066223,0.18104733526706696,0.6557049751281738,32.56998825073242,5.5234174728393555,14.779260635375977,0.0,-1.2657493352890015,14.500387841243807,1.1811350729466894,0.763,0.07885832339525223
yolov9t.pt,640,2000,128,14.0,2.7587456703186035,0.8298276662826538,0.2684003412723541,0.7654734253883362,18.692480087280273,3.7257776260375977,8.261275291442871,0.0,-0.633338212966919,14.227648625295279,1.0699386962246358,0.73,0.031582362949848175
